show_id	type	title	director	cast	country	date_added	release_year	rating	duration	listed_in	description
80169755	Movie	Joaquín Reyes: Una y no más	José Miguel Contreras	Joaquín Reyes		8-Sep-17	2017	TV-MA	78 min	Stand-Up Comedy	"Comedian and celebrity impersonator Joaquín Reyes decides to be his zesty self for a night of stories about buses, bathroom habits, royalty and more."
70299204	Movie	Kidnapping Mr. Heineken	Daniel Alfredson	"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik"	"Netherlands, Belgium, United Kingdom, United States"	8-Sep-17	2015	R	95 min	"Action & Adventure, Dramas, International Movies"	"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
80182480	Movie	Krish Trish and Baltiboy		"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		8-Sep-17	2009	TV-Y7	58 min	Children & Family Movies	"A team of minstrels, including a monkey, cat and donkey, narrate folktales from the Indian regions of Rajasthan, Kerala and Punjab."
80182483	Movie	Krish Trish and Baltiboy: Battle of Wits	"Munjal Shroff, Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal, Deepak Chachra"		8-Sep-17	2013	TV-Y7	62 min	Children & Family Movies	"An artisan is cheated of his payment, a lion of his throne and a brother of his inheritance in these three stories of deception and justice."
80182596	Movie	Krish Trish and Baltiboy: Best Friends Forever	"Munjal Shroff, Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Deepak Chachra"		8-Sep-17	2016	TV-Y	65 min	Children & Family Movies	"A cat, monkey and donkey team up to narrate folktales about friendship from Northeast India, and the Indian regions of Bihar and Rajasthan."
80182482	Movie	Krish Trish and Baltiboy: Comics of India	Tilak Shetty	"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		8-Sep-17	2012	TV-Y7	61 min	Children & Family Movies	"In three comic-strip-style tales, a boy tries to sell wisdom, a demon is released from captivity, and a king assigns impossible tasks to his minister."
80182597	Movie	Krish Trish and Baltiboy: Oversmartness Never Pays	Tilak Shetty	"Rishi Gambhir, Smita Malhotra, Deepak Chachra"		8-Sep-17	2017	TV-Y7	65 min	Children & Family Movies	"A cat, monkey and donkey learn the consequences of cheating through stories from the Indian regions of Rajasthan, West Bengal and Maharashtra."
80182481	Movie	Krish Trish and Baltiboy: Part II		"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		8-Sep-17	2010	TV-Y7	58 min	Children & Family Movies	"Animal minstrels narrate stories about a monkey's friendship with a crocodile, two monkeys' foolishness and a villager's encounter with a demon."
80182621	Movie	Krish Trish and Baltiboy: The Greatest Trick	"Munjal Shroff, Tilak Shetty"	"Damandeep Singh Baggan, Smita Malhotra, Baba Sehgal"		8-Sep-17	2013	TV-Y7	60 min	Children & Family Movies	"The consequences of trickery are explored in stories involving an inconsiderate husband, two greedy courtiers, and a kind man who loses everything."
80057969	Movie	Love	Gaspar Noé	"Karl Glusman, Klara Kristin, Aomi Muyock, Ugo Fox, Juan Saavedra, Gaspar Noé, Isabelle Nicou, Benoît Debie, Vincent Maraval, Déborah Révy"	"France, Belgium"	8-Sep-17	2015	NR	135 min	"Cult Movies, Dramas, Independent Movies"	A man in an unsatisfying marriage recalls the details of an intense past relationship with an ex-girlfriend when he gets word that she may be missing.
80060297	Movie	Manhattan Romance	Tom O'Brien	"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier"	United States	8-Sep-17	2014	TV-14	98 min	"Comedies, Independent Movies, Romantic Movies"	A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
80046728	Movie	Moonwalkers	Antoine Bardou-Jacquet	"Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte"	"France, Belgium"	8-Sep-17	2015	R	96 min	"Action & Adventure, Comedies, International Movies"	"A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing."
80046727	Movie	Rolling Papers	Mitch Dickman		"United States, Uruguay"	8-Sep-17	2015	TV-MA	79 min	Documentaries	"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture."
70304988	Movie	Stonehearst Asylum	Brad Anderson	"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley"	United States	8-Sep-17	2014	PG-13	113 min	"Horror Movies, Thrillers"	"In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
80057700	Movie	The Runner	Austin Stark	"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier"	United States	8-Sep-17	2015	R	90 min	"Dramas, Independent Movies"	A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922	Movie	6 Years	Hannah Fidell	"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael"	United States	8-Sep-15	2015	NR	80 min	"Dramas, Independent Movies, Romantic Movies"	"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
80244601	TV Show	Castle of Stars		"Chaiyapol Pupart, Jintanutda Lummakanon, Worrawech Danuwong, Ornjira Lamwilai, Yong Armchair, Keerati Mahapreukpong, Akarat Nimitchai, Kornpassorn Duaysianklao, Nattapong Chartpong"		7-Sep-18	2015	TV-14	1 Season	"International TV Shows, Romantic TV Shows, TV Comedies"	"As four couples with different lifestyles go through the ebbs and flows of joy and sorrow, each must learn how to live a good life."
80203094	Movie	City of Joy	Madeleine Gavin		"United States,"	7-Sep-18	2018	TV-MA	77 min	Documentaries	"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
80190843	TV Show	First and Last				7-Sep-18	2018	TV-MA	1 Season	Docuseries	Take an intimate look at the emotionally charged first and last days of new and soon-to-be released inmates at Georgia's Gwinnett County Jail.
70241607	Movie	Laddaland	Sopon Sukdapisit	"Saharat Sangkapreecha, Pok Piyatida Woramusik, Sutatta Udomsilp, Athipich Chutiwatkajornchai, Deuntem Salitul, Sahajak Boonthanakit"	Thailand	7-Sep-18	2011	TV-MA	112 min	"Horror Movies, International Movies"	"When a family moves into an upscale housing development, they encounter a series of paranormal events that drive them to the edge of insanity."
80988892	Movie	Next Gen	"Kevin R. Adams, Joe Ksander"	"John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu"	"China, Canada, United States"	7-Sep-18	2018	TV-PG	106 min	"Children & Family Movies, Comedies, Sci-Fi & Fantasy"	"When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
80239639	Movie	Sierra Burgess Is A Loser	Ian Samuels	"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz"	United States	7-Sep-18	2018	PG-13	106 min	"Comedies, Romantic Movies"	A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
80159586	Movie	The Most Assassinated Woman in the World	Franck Ribière	"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé"	"Belgium, United Kingdom, United States"	7-Sep-18	2018	TV-MA	102 min	"Dramas, International Movies, Thrillers"	"In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
80152447	Movie	Cézanne et moi	Daniele Thompson	"Guillaume Canet, Guillaume Gallienne, Alice Pol, Déborah François, Sabine Azéma, Freya Mavor, Isabelle Candelier, Laurent Stocker"	"Belgium, France"	7-Sep-17	2016	R	114 min	"Dramas, Independent Movies, International Movies"	"This historical drama explores the long and often volatile friendship of painter Paul Cézanne and writer Émile Zola, who first met as schoolboys."
80221550	TV Show	Archibald's Next Big Thing		"Tony Hale, Rosamund Pike, Jordan Fisher, Chelsea Kane, Adam Pally, Kari Wahlgren"		6-Sep-19	2019	TV-Y7	1 Season	"Kids' TV, TV Comedies"	"Happy-go-lucky chicken Archibald may not remember to do his chores, but he never forgets to have fun. After all, life's an adventure!"
81154455	Movie	Article 15	Anubhav Sinha	"Ayushmann Khurrana, Nassar, Manoj Pahwa, Kumud Mishra, Isha Talwar, Sayani Gupta, Mohammed Zeeshan Ayyub, Subhrajyoti Barat, Sushil Pandey, Aakash Dabhade"	India	6-Sep-19	2019	TV-MA	125 min	"Dramas, International Movies, Thrillers"	The grim realities of caste discrimination come to light as an entitled but upright city cop ventures into India’s heartland to investigate a murder.
81113928	Movie	Care of Kancharapalem	Maha Venkatesh	"Subba Rao Vepada, Radha Bessy, Kesava Karri, Nithyasri Goru, Karthik Rathnam, Praneetha Patnaik, Mohan Bhagath, Praveena Paruchuri"		6-Sep-19	2018	TV-14	142 min	"Comedies, Dramas, Independent Movies"	"From a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small Indian town."
81052275	Movie	Ee Nagaraniki Emaindi	Tharun Bhascker	"Vishwaksen Naidu, Sushanth Reddy, Abhinav Gomatam, Venkatesh Kakumanu, Anisha Ambrose, Simran Choudhary"	India	6-Sep-19	2018	TV-14	133 min	"Comedies, International Movies"	"In Goa and in desperate need of cash, four childhood friends get another shot at making their long-abandoned dreams of becoming filmmakers come true."
81132437	Movie	Kill Me If You Dare	Şenol Sönmez	"Murat Boz, Seda Bakan, Açelya Topaloğlu, Özgür Emre Yıldırım, Seda Güven, Yosi Mizrahi, Dilşad Şimşek, Ali Yoğurtçuoğlu"		6-Sep-19	2019	TV-14	100 min	"Comedies, International Movies, Romantic Movies"	"Bogged down with money problems, a couple grows cautious of each other but hit the lottery and decide to stay together – till death do they part."
80178151	TV Show	The Spy		"Sacha Baron Cohen, Noah Emmerich, Hadar Ratzon Rotem, Alexander Siddig, Waleed Zuaiter, Nassim Lyes"	France	6-Sep-19	2019	TV-MA	1 Season	"International TV Shows, TV Dramas, TV Thrillers"	"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad."
80058026	Movie	Hell and Back	"Tom Gianas, Ross R. Shuman"	"Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford"	United States	6-Sep-18	2015	R	86 min	"Action & Adventure, Comedies, Independent Movies"	"When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
70303496	Movie	PK	Rajkumar Hirani	"Aamir Khan, Anuskha Sharma, Sanjay Dutt, Saurabh Shukla, Parikshat Sahni, Sushant Singh Rajput, Boman Irani, Rukhsar"	India	6-Sep-18	2014	TV-14	146 min	"Comedies, Dramas, International Movies"	Aamir Khan teams with director Rajkumar Hirani to play a social crusader in a political satire on the state of corruption in India.
80162141	Movie	Hard Tide	"Robert Osman, Nathanael Wiseman"	"Nathanael Wiseman, Mem Ferda, Alexandra Newick, Oliver Stark, Kat Gellin, Andy Lucas, Ralph Brown, Beverly Hills"	United Kingdom	6-Sep-17	2015	TV-MA	79 min	"Dramas, Independent Movies"	A drug dealer who's been emulating his father's successful criminal career is forced to go on the run with a young girl in this fact-based thriller.
80095641	Movie	Elstree 1976	Jon Spira	"Paul Blake, Jeremy Bulloch, John Chapman, Anthony Forrest, Laurie Goode, Garrick Hagon, Derek Lyons, Angus MacInnes, David Prowse, Pam Rose"	United Kingdom	6-Sep-16	2015	TV-PG	102 min	Documentaries	"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
81176188	Movie	American Factory: A Conversation with the Obamas		"President Barack Obama, Michelle Obama, Julia Reichert, Steven Bognar"		5-Sep-19	2019	TV-G	10 min	Documentaries	Barack and Michelle Obama talk with directors Steven Bognar and Julia Reichert about the documentary and the importance of storytelling.
80159880	Movie	ATM	Mez Tharatorn	"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak"	"United States, Canada"	5-Sep-18	2012	TV-14	122 min	"Comedies, International Movies, Romantic Movies"	"When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
81016044	Movie	Bangkok Traffic (Love) Story	Adisorn Tresirikasem	"Theeradej Wongpuapan, Sirin Horwang, Ungsumalynn Sirapatsakmetha, Panissara Phimpru, Taksaorn Paksukcharern, Charlie Trairat, Kazuki Yano"	Thailand	5-Sep-18	2009	TV-14	126 min	"Comedies, International Movies, Romantic Movies"	"After an encounter with an engineer working the night shift for the city train, a 30-year-old woman struggles against all odds to pursue true love."
80158838	Movie	I Fine... Thank You... Love You	Mez Tharatorn	"Preechaya Pongthananikorn, Sunny Suwanmethanont, Sora Aoi, Puttachat Pongsuchat, Popetorn Soonthornyanakij"	Thailand	5-Sep-18	2014	TV-14	116 min	"Comedies, International Movies, Romantic Movies"	"Desperate to go to the U.S. to win back his girlfriend, Yim hires a tutor to teach him English. But things don't go according to plan."
81016045	Movie	One Day	Banjong Pisanthanakun	"Chantavit Dhanasevi, Nittha Jirayungyurn, Theerapat Sajakul, Prim Bulakul, Kris Srepoomseth, Somyos Matures, Sutthatip Wutichaipradit, Rermthon Kemapech, Kaz Sawamura"	Thailand	5-Sep-18	2016	TV-PG	135 min	"Dramas, International Movies, Romantic Movies"	"When his colleague (and crush) temporarily loses her memory, an overlooked geek seizes the chance to make an impression before she remembers again."
70142798	Movie	Phobia 2	"Banjong Pisanthanakun, Paween Purikitpanya, Songyos Sugmakanan, Parkpoom Wongpoom, Visute Poolvoralaks"	"Jirayu La-ongmanee, Charlie Trairat, Worrawech Danuwong, Marsha Wattanapanich, Nicole Theriault, Chumphorn Thepphithak, Gacha Plienwithi, Suteerush Channukool, Peeratchai Roompol, Nattapong Chartpong"	Thailand	5-Sep-18	2009	TV-MA	125 min	"Horror Movies, International Movies"	"From disfiguring punishments to festering souls, Thai horror masters present five supernatural tales of karma in this sequel to the 4bia anthology."
70062814	Movie	Shutter	"Banjong Pisanthanakun, Parkpoom Wongpoom"	"Ananda Everingham, Natthaweeranuch Thongmee, Achita Sikamana, Unnop Chanpaibool, Titikarn Tongprasearth, Sivagorn Muttamara, Chachchaya Chalemphol, Kachormsak Naruepatr"	Thailand	5-Sep-18	2004	TV-MA	96 min	"Horror Movies, International Movies"	"After killing a young girl in a hit-and-run accident, a couple is haunted by more than just the memory of their deadly choice."
